"{:calorie=>""Calorie Counter"", :kilojoule=>""Kilojoule Counter""}",,,,,,,,
Printable Diary forÿUnsraw,,,,,,,,
From:,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Show:,,,,,,,,
ÿFood Diary,,,,,,,,
ÿFood Notes,,,,,,,,
To:,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ÿExercise Diary,,,,,,,,
ÿExercise notes,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1-Jan-13,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
"Lettuce - Cos or romaine, raw, 3 leaf outer",14,3g,0g,1g,0mg,7mg,1g,2g
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
Lunch,,,,,,,,
"Ichiban - Medium Firm Tofu, 0.63 container (18 oz ea.)",225,8g,11g,26g,0mg,113mg,0g,0g
"Japanese Pumpkin - Kabocha Squash, 6 cup",180,42g,0g,0g,0mg,0mg,18g,6g
"JFC International - string hijiki, 13.33 g",40,8g,0g,1g,0mg,140mg,0g,8g
Dinner,,,,,,,,
"Pulumone - firm tofu, 1/2 container (18 oz)",210,6g,14g,21g,0mg,15mg,0g,3g
"Sweet potato - Cooked, baked in skin, without salt (Sweetpotato), 1 medium (2"" dia, 5"" long, raw)",103,24g,0g,2g,0mg,41mg,10g,4g
"Nuts - Chestnuts, european, roasted, 0.25 cup",88,19g,1g,1g,0mg,1mg,4g,2g
Snacks,,,,,,,,
"Seeds - Pumpkin and squash seeds, whole, roasted, with salt added, 1.5 oz (85 seeds)",189,23g,8g,8g,0mg,244mg,0g,0g
"Generic - Almonds Raw Approximately 29 Kernels = 1 oz, 14 almonds",90,3g,8g,3g,0mg,0mg,1g,2g
TOTAL:,"1,529",194g,55g,77g,0mg,561mg,34g,49g
2-Jan-13,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Lettuce - Cos or romaine, raw, 3 leaf outer",14,3g,0g,1g,0mg,7mg,1g,2g
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
Lunch,,,,,,,,
"JFC International - string hijiki, 13.33 g",40,8g,0g,1g,0mg,140mg,0g,8g
"Japanese Pumpkin - Kabocha Squash, 2 cup",60,14g,0g,0g,0mg,0mg,6g,2g
"Ichiban - Medium Firm Tofu, 0.63 container (18 oz ea.)",225,8g,11g,26g,0mg,113mg,0g,0g
"Generic - Grain Oatmeal Dry .5 Cup, 0.25 cup (39g dry)",70,13g,1g,3g,0mg,0mg,0g,2g
"Carrots - Raw, 1 large (7-1/4"" to 8-1/2"" long)",30,7g,0g,1g,0mg,50mg,3g,2g
"U of I Steamed Broccoli - Broccoli - Steamed (Nothing Added), 1/2 c",27,5g,0g,3g,0mg,15mg,1g,3g
Dinner,,,,,,,,
"Home Cooked - Roast Parsnip, 65 g 1/2 large",55,27g,1g,2g,0mg,16mg,8g,6g
Snacks,,,,,,,,
"Generic - Almonds Raw Approximately 29 Kernels = 1 oz, 14 almonds",90,3g,8g,3g,0mg,0mg,1g,2g
"oat bar, 1/3 serving",44,6g,1g,4g,0mg,45mg,0g,1g
"Seeds - Pumpkin and squash seeds, whole, roasted, with salt added, 0.5 oz (85 seeds)",63,8g,3g,3g,0mg,81mg,0g,0g
TOTAL:,"1,108",160g,38g,61g,0mg,467mg,20g,50g
3-Jan-13,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
"Lettuce - Cos or romaine, raw, 3 leaf outer",14,3g,0g,1g,0mg,7mg,1g,2g
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
Lunch,,,,,,,,
"JFC International - string hijiki, 13.33 g",40,8g,0g,1g,0mg,140mg,0g,8g
"Ichiban - Medium Firm Tofu, 0.63 container (18 oz ea.)",225,8g,11g,26g,0mg,113mg,0g,0g
"Japanese Pumpkin - Kabocha Squash, 4 cup",120,28g,0g,0g,0mg,0mg,12g,4g
"Carrots - Raw, 1.5 large (7-1/4"" to 8-1/2"" long)",44,10g,0g,1g,0mg,75mg,5g,3g
Dinner,,,,,,,,
"Home Cooked - Roast Parsnip, 65 g 1/2 large",55,27g,1g,2g,0mg,16mg,8g,6g
"Pulumone - firm tofu, 1/4 container (18 oz)",105,3g,7g,11g,0mg,8mg,0g,2g
Snacks,,,,,,,,
"oat bar, 1/2 serving",65,9g,1g,6g,0mg,68mg,0g,1g
"Generic - Almonds Raw Approximately 29 Kernels = 1 oz, 16 almonds",103,3g,9g,4g,0mg,0mg,1g,2g
TOTAL:,"1,161",157g,42g,66g,0mg,427mg,27g,50g
